MSA/MD FIPS CODE NO. ,MSA/MD NAME,2015 MSA/MD MED* FAMILY INCOME
48900,"WILMINGTON, NC",64357
49020,"WINCHESTER, VA-WV",69817
49180,"WINSTON-SALEM, NC",56536
49340,"WORCESTER, MA-CT",81137
49420,"YAKIMA, WA",49907
49620,"YORK-HANOVER, PA",69846
49660,"YOUNGSTOWN-WARREN-BOARDMAN, OH-PA",55174
49700,"YUBA CITY, CA",54931
49740,"YUMA, AZ",44088
99999,nonmetro portion of ALABAMA,45334
99999,nonmetro portion of ALASKA,76010
99999,nonmetro portion of ARIZONA,44368
99999,nonmetro portion of ARKANSAS,45060
99999,nonmetro portion of CALIFORNIA,56948
99999,nonmetro portion of COLORADO,60701
99999,nonmetro portion of CONNECTICUT,89735
99999,nonmetro portion of FLORIDA,46600
99999,nonmetro portion of GEORGIA,45816
99999,nonmetro portion of HAWAII,64822
99999,nonmetro portion of IDAHO,52473
99999,nonmetro portion of ILLINOIS,59121
99999,nonmetro portion of INDIANA,55741
99999,nonmetro portion of IOWA,61934
99999,nonmetro portion of KANSAS,56877
99999,nonmetro portion of KENTUCKY,45920
99999,nonmetro portion of LOUISIANA,46845
99999,nonmetro portion of MAINE,54862
99999,nonmetro portion of MARYLAND,63535
99999,nonmetro portion of MASSACHUSETTS,73868
99999,nonmetro portion of MICHIGAN,53542
99999,nonmetro portion of MINNESOTA,63182
99999,nonmetro portion of MISSISSIPPI,43702
99999,nonmetro portion of MISSOURI,48553
99999,nonmetro portion of MONTANA,59958
99999,nonmetro portion of NEBRASKA,61382
99999,nonmetro portion of NEVADA,61350
99999,nonmetro portion of NEW HAMPSHIRE,71699
99999,nonmetro portion of NEW MEXICO,49356
99999,nonmetro portion of NEW YORK,59570
99999,nonmetro portion of NORTH CAROLINA,47794
99999,nonmetro portion of NORTH DAKOTA,72620
99999,nonmetro portion of OHIO,56217
99999,nonmetro portion of OKLAHOMA,51698
99999,nonmetro portion of OREGON,51555
99999,nonmetro portion of PENNSYLVANIA,56172
99999,nonmetro portion of SOUTH CAROLINA,44547
99999,nonmetro portion of SOUTH DAKOTA,60961
99999,nonmetro portion of TENNESSEE,46254
99999,nonmetro portion of TEXAS,52076
99999,nonmetro portion of UTAH,64772
99999,nonmetro portion of VERMONT,64849
99999,nonmetro portion of VIRGINIA,51375
99999,nonmetro portion of WASHINGTON,58513
99999,nonmetro portion of WEST VIRGINIA,48507
99999,nonmetro portion of WISCONSIN,60911
99999,nonmetro portion of WYOMING,72833
99999,nonmetro portion of AMERICAN SAMOA,24706
99999,nonmetro portion of GUAM,50607
99999,nonmetro portion of NORTHERN MARIANA ISLANDS,22455
99999,nonmetro portion of PUERTO RICO,18605
99999,nonmetro portion of VIRGIN ISLANDS,45058
